epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.64136,1.92866,4.80132,1.83955,0,0,0,0,2.2924,4.35546,1.89132,0,0,0
2,7.13754,2.21296,4.87809,1.749,0,0,0,0,2.32882,4.36208,1.8962,7.53774e-06,7.53774e-06,7.53774e-06
3,10.8173,1.88559,4.78081,1.73289,0,0,0,0,2.31696,4.3538,1.93695,1.4771e-05,1.4771e-05,1.4771e-05
4,14.4266,1.89599,4.85253,1.85073,0,0,0,0,2.22639,4.35139,1.86691,2.16996e-05,2.16996e-05,2.16996e-05
5,17.7983,1.99996,4.84243,1.82381,0,0,0,0,2.15611,4.32698,1.81483,2.83238e-05,2.83238e-05,2.83238e-05
6,21.5737,1.98528,5.34477,1.86419,0,0,0,0,2.09962,4.30794,1.79067,3.46435e-05,3.46435e-05,3.46435e-05
7,24.9169,1.51921,4.75981,1.47794,0,0,0,0,2.0619,4.26975,1.77869,4.06586e-05,4.06586e-05,4.06586e-05
